epoch,acc,loss,val_acc,val_loss
0,0.850238095238,0.567145764771,0.901591836696,0.316068493619
1,0.939380952381,0.212832757019,0.886530612225,0.346668713219
2,0.956333333333,0.150301388758,0.939387755044,0.199444202837
3,0.966380952381,0.118024288717,0.963102040758,0.128860793408
4,0.972619047619,0.0962035918981,0.962775510194,0.121144456509
5,0.977476190476,0.0795264552548,0.958387755092,0.138360111553
6,0.981333333333,0.0667547241726,0.968857142847,0.100603079686
7,0.98419047619,0.0573007449281,0.972306122439,0.091436819349
8,0.986761904762,0.0497745159274,0.97636734691,0.0812038450448
9,0.988571428571,0.0438888565529,0.971653061215,0.0949074779445
10,0.990571428571,0.0379744562219,0.974102040836,0.0852854726813
11,0.991476190476,0.0333443004984,0.978224489738,0.073075885673
12,0.992238095238,0.029656565324,0.978387755122,0.0719959131942
13,0.993428571429,0.0263018205519,0.978510204023,0.0724732277783
14,0.99419047619,0.0240947917217,0.965081632643,0.110664813122
15,0.995666666667,0.0200534199813,0.979836734713,0.0680966558104
16,0.996333333333,0.0186422800948,0.978244897901,0.0727740013599
17,0.996714285714,0.0168556778543,0.979591836676,0.068525215745
18,0.997476190476,0.0145203435618,0.980061224509,0.0689531929706
19,0.997047619048,0.0133735774019,0.979346938717,0.0722101077304
20,0.998238095238,0.0115830265901,0.980734693819,0.0696077686761
21,0.998523809524,0.0101810178807,0.981265306064,0.067434846223
22,0.998761904762,0.0090188805539,0.979510204023,0.0731983855981
23,0.998952380952,0.00808235573439,0.980795918309,0.0686821114013
24,0.999095238095,0.0074884955953,0.980775510146,0.0694140298811
25,0.999380952381,0.0063795711611,0.981163265248,0.0706662033279
26,0.999523809524,0.00573594433807,0.981469387697,0.0689368906888
27,0.999666666667,0.00481312679963,0.981142857162,0.0731595509232
28,0.999571428571,0.00463459586151,0.981040816346,0.0726443798858
29,0.999571428571,0.00407552360867,0.980734693819,0.075335704795
30,0.999761904762,0.00349387644234,0.981510204023,0.0724956810164
31,0.999666666667,0.00317629419671,0.981081632595,0.0759234091349
32,0.999857142857,0.00274931065215,0.981306122391,0.0758805835204
33,0.999904761905,0.00240873800644,0.98093877553,0.0764330830531
