0,0,0,0
6.28,508.9805928,-251.1630999,-0.593749667
6.28,515.9248697,-233.8269371,-0.579406827
6.28,509.4897124,-255.3182868,-0.51238946
6.28,507.7043868,-258.5589514,-0.532843888
6.28,509.5474046,-253.1099776,-0.45257795
6.28,510.8924967,-256.9812681,-0.616648061
6.28,509.0315073,-257.3924831,-0.513606005
6.28,509.0514617,-256.4958178,-0.608172778
6.28,505.2380554,-273.1484525,-0.637238143
6.28,508.9805928,-252.1630999,-0.593749667
6.28,513.1445005,-242.6605184,-0.585112438
6.28,511.2105549,-254.001646,-0.599596287
6.28,506.1373386,-267.8244748,-0.622670789
6.28,510.4209678,-254.307726,-0.604902403
6.28,507.9805928,-252.1630999,-0.593749667
6.28,510.8924967,-258.9812681,-0.616648061
6.28,505.5297489,-257.9867476,-0.582137568
6.28,512.7564794,-243.3290137,-0.588002604
6.28,504.5,-277,-0.643501109
6.28,510.365779,-244.9924653,-0.590811585
6.28,508.8509052,-259.4225304,-0.615619889
6.28,507.8509052,-262.4225304,-0.615619889
6.28,512.3251033,-240.6740292,-0.576798591
6.28,511.5380395,-241.4993399,-0.582352946
6.28,510.5380395,-250.4993399,-0.582352946
6.28,508.2535506,-263.7845384,-0.613207349
6.28,509.2535506,-262.7845384,-0.613207349
6.28,511.1175067,-246.8530314,-0.57133748
6.28,507.2535506,-260.7845384,-0.613207349
6.28,509.1939313,-257.4773152,-0.599175323
6.28,510.148547,-252.1666255,-0.585217095
6.28,510.5023053,-253.1732268,-0.568286849
6.28,510.148547,-249.1666255,-0.585217095
6.28,509.4209678,-264.307726,-0.604902403
6.28,506.1939313,-266.4773152,-0.599175323
6.28,510.9142699,-269.3223467,-0.676456206
6.28,513.365779,-245.9924653,-0.590811585
6.28,505.3839178,-271.6868198,-0.551654983
